Year,Startup Name,Industry,SubVertical Industry,City,Investor Name,Investment Type,Amount(in USD),cityNumber
2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000,0
2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,2
2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,4
2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000,5
2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000,0
2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000,2
2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000,9
2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000,0
2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,11
2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,0
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000,0
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,2
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,2
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,0
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,15
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,16
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,18
2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000,0
2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000,2
2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,4
2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,20
2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,4
2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000,0
2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000,6
2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000,22
2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000,25
2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,4
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000,0
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,2
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,2
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,0
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,15
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,16
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,18
2019,Kuvera,Finance,Wealth Management,Bengaluru,Eight Roads,Series A,45000000,
2019,Tripoto,Social Media,Travel,New Delhi,"Orchid India, Hornbill Orchid India Fund, Chiratae Ventures (formerly IDG Ventures), 3one4 Capital, Lasmer NV",Series B,3591375,
2019,CleverTap,SaaS,Mobile analytics and marketing,Mumbai,"Sequoia India, Tiger Global Management, Accel Partners",Series B,26000000,
2019,My Healthcare,E-commerce,Software Solutions,Bengaluru and Gurugram,Sixth Sense Ventures,Series A,3000000,
2019,Increff,Technology,Supply-chain technology solutions,Bengaluru,"021 Capita, Binny Bansal",Series A,3000000,
2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,5000000,
2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000,
2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000,
2019,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,6000000,
2019,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,50000000,
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000,
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,
2019,GlowRoad,E-commerce,Retail,Bengaluru,"Korea Investment Partners, Vertex Ventures",Series B,11500000,
2019,Bira91,Food and Beverage,Brewery,New Delhi,Sixth Sense Ventures,Series B,5600000,
2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,3300000,
2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,18000000,
2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,10000000,
2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,5000000,
2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,19000000,
2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000,
2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000,
2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000,
2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000,
2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,75000000,
2019,Chakr Innovation,Energy,Renewable Energy,New Delhi,IAN Fund,Series A,26000000,
2019,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500,
2019,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000,
2019,Biz2Credit,FinTech,Online Lending Platform,New York,WestBridge Capital,Series B,52000000,
2019,Leegality,Services,Digital Documentation,Mumbai/Bengaluru,Mumbai Angels,Series A,3400000,
