Sr. No.,Startup Name,Founding Date,City,Industry,SubVerticalIndustry,Founders,Investor Name,Amount(in USD),Investment Type
14,Livspace,2014,Bangalore,Interior Design,It offers end-to-end home design experience for homeowners and home designers,"Anuj Srivastava, Ramakant Sharma, Shagufta Anurag","Tahoe Investment Group, Mercer Investment","$60,000,000",Series D
15,GetVantage,,Mumbai,Fintech,Revenue based finance provider,Bhavik Vasa,"Samyakth Capital, Venture Catalysts",Undisclosed,Seed round
16,Konfinity,2018,Noida,Edtech,Provides online coding courses,"Navratn Singh, Kamal Pandey",Angel investors,Undisclosed,
17,Pine Labs,,Noida,Fintech,Retail payment and hardware company,"Lokvir Kapoor, Rajul Garg, Tarun Upaday",Mastercard,Undisclosed,
18,Instoried,,Delhi,SaaS,Augmented writing platform which improves customer interest and engagement.,Sharmin Ali,"SOSV, Chinaccelerator",Undisclosed,
19,Nupay,,Haryana,Neo-banking,"Integrated platform for Receivables and Payables automation, Electronic Invoicing, Reconciliations and Bank payouts","Neeraj Singh, Alok Arora",Venture Catalysts,Undisclosed,
20,Samosa Singh,2016,Bangalore,Food,Offers hygienic Indian Snacks,"Shikhar Veer Singh, Nidhi Singh",She Capital,"$2,700,000",Series A
21,Crysta,2018,Delhi,Healthtech,Offers diagnostic and screening services with regular counselling and clinical data management,,"Green Shots Capital, Alfa Ventures, Real Time Venture, Petrotech, Steel City Securities, Lalit Wadhwa, Dr Kriti Maroli","$1,403,400",Pre Series A
22,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital","$105,000,000",Series D
23,Park+,,,Techonology,It is engaged in bringing digitization in parking,Amit Lakhotia,"Sequoia Capital, Matrix Partners India","$11,000,000",
24,Goodmylk,2017,Bangalore,Dairy,Provides Vegan dairy products,Abhay Rangan,"Ginni International, Elisa Khong, Sandeep Singh, VegInvest","$400,000",Seed Round
25,Skylo,2017,,IoT,Provides affordable and ever present network that connects machines or sensors,Trivedi,SoftBank Group,"$103,000,000",Series B
26,Tea Trunk,2013,Goa,Beverage,Global premium tea brand,"Snigdha Manchanda, Vikas Kumar, Aishwarya Malhi",Angel investors,"$220,000",
27,Zoomcar,2013,Bangalore,Transport & Rentals,A car rental service platform,"Greg Moran, David Back",Sony Innovation Fund,"$30,000,000",Series D
28,Mera Cashier,2019,Noida,Fintech,App meant for small and micro businessmen to manage their transactions digitally,"Suneel Kumar, Sucharita Reddy, Gaurav Tomar, Akhilesh Nigam,","Amit Singal, Manish Aggarwal","$250,000",Seed Round
29,Kristal AI,2016,,AI,Provides Algorithm-based financial services,"Asheesh Chanda, Vineeth Narasimhan",Chiratae Ventures,"$6,000,000",Series A
30,Invento Robotics,,,AI Robotics,Known for Mitra Series of Robots,"Balaji Viswanathan, Be Limitless Inc., Zingfin.com, NalandaU","Windrose Capital, ITI Growth Opportunities Venture Fund","$281,300",Seed round
31,Sabse Sasta Dukaan,2016,Kolkata,Pharmaceutical,Online pharmacy dealing in medicines,"Anish Agarwal, Anant Jain",Angel investors,Undisclosed,
32,Fitphilia,,Mumbai,Healthtech,Provides IoT-enabled treadmill,Nirav Patil,Angel investors,Undisclosed,
33,Medicus,,Mumbai,Healthtech,AI-based platform that explains and interprets blood tests and medical reports,"Bhavesh Shah, Manav Shah",Angel investors,"$12,700",
34,Monech,,Mumbai,Fintech,Automated platform which will help users to take their financial decisions,,Angel investors,"$12,700",Seed Round
35,Teach Us,,,Edtech,Educational portal which enables the students to access information related to education at one common platform,,Angel investors,"$12,700",Seed Round
36,Dealberg,,Bangalore,B2B marketplace,Deals in office supplies,Abhishek Emmanuel,Undisclosed,Undisclosed,
37,Phenom People,2010,,HR tech,It redefines the means to search for a job and recruit top talent,Mahe Bayireddi,WestBridge Capital,"$30,000,000",Series C
38,Extra Edge,,Pune,Edtech,Admission Marketing Automation software for the education industry,Kavita Dhillon,"Sprout Venture Partners, Indian Angel Network","$700,000",Pre series A
39,Capital Quotient,2016,Bangalore,Fintech,Investment advisor,Sousthav Chakrabarty,Undisclosed,"$600,000",
40,Karfa,,Delhi,Ecommerce,It sells products crafted by artisans,Kartikeya Goel,Undisclosed,"$25,000",Seed Round
41,Bounce,2014,Bangalore,Automotive and Rentals,Offers a variety of bikes and scooters that can be rented on a subscription basis,"Vivekananda Hallekere, Anil Giri Raju,Arun Agni","Accel Partners, B Capital","$97,500,000",Series D
42,Zinier,2015,Bangalore,Automation,Provides intelligent field service automation,Arka Dhar,ICONIQ Capital,"$90,000,000",Series C
43,ProEves,2016,Delhi,Preschool Daycare,"Provides tech-enabled, end-to-end childcare support solutions for corporate and retail consumers","Divya Agarwal, Ketika Kapoor",1Crowd,"$507,000",Seed Round
44,Aesthetic Nutrition,2018,,Food diet,Markets and sells chewable dietary supplements,Divij Bajaj,DSG Consumer Partners,Undisclosed,Pre Series A
45,Ninjacart,2015,Bangalore,B2B Agritech,Online grocery delivery platform,"Thirukumaran Nagarajan, Sharath Loganathan, Sachin Jose, Kartheeswaran KK, Vasudevan Chinnathambi","Flipkart India, Singapore-based GEC3","$10,000,000",Series C
46,TechnifyBiz,2017,,B2B Agritech,Online marketplace for non-perishable food items,"Akash Sharma, Abhishek Agarwal","Omnivore, Insitor Impact Asia Fund","$2,000,000",Seed Round
47,Wysh,2019,Hyderabad,E-connect,Celebrity engagement and wishing platform,"Mahesh Gogineni, Varun MS, Manan Maheshwari",Kalaari Capital,"$2,000,000",Series A
48,Keito,2016,Pune,AI,Enterprise productivity startup,Amal PS,Suma Soft Pvt Ltd,"$160,000",Seed Round
49,Klub,2019,,Fintech,Provides growth financing to high-affinity brands,"Anurakt Jain, Ishita Verma",Sequoia Surge,"$2,000,000",Pre seed round
50,Aadhar,2017,Mumbai,Ecommerce,Ayurveda wellness and lifestyle consumer brand,,"Sprout Venture Partners, JITO Angel Network, LetsVenture",Undisclosed,Seed Round
51,IncubateHub,,Bengaluru,Tech hub,Provides platform for Corporates to connect establish brand presence among innovation community,Rajiv Mukherjee,Venture Catalysts,Undisclosed,
52,Rage Coffee,,Delhi,FMCG,Provides effective Instant Coffee Infused with Natural Brain Vitamins & Plant Based Cognitive Enhancers,Bharat Sethi,Refex Capital,Undisclosed,
53,Skilancer,,Noida,Technology,Solar module cleaning system [MCS] providers,Neeraj Kumar,Venture Catalysts,Undisclosed,
54,Harappa Education,,New Delhi,Edtech,Provides online courses on foundational skills,Pramath Raj Sinha,James Murdoch-led Lupa Systems,Undisclosed,
55,Axio Biosolutions,,Bangalore,Medtech,Medical device manufacturer,Leo Mavely,Omidyar Network India,"$5,200,000",Series B
56,Techbooze,,,Consultancy,"Business Development, Consulting and Funding facilitator for Startups Enterprise",Mr. Subhashis Kar,Space Capital,"$15,000,000",Series A
57,PayMart,2015,Chandigarh,Fintech,Provides cardless cash withdrawals through small merchants shops,Amit Narang,"IIM AhmedabadвЂ™s incubator (CIIE.CO),Chandigarh Angels Network",Undisclosed,
58,Testbook,,,Edtech,Helps students prepare online for competitive exams,"Praveen Agrawal, Yadvendar Champawat, Manoj Munna, Abhishek Sagar, Ashutosh Kumar, Narendra Agrawal",Iron Pillar,"$8,400,000",Series B
59,FabAlley,2012,Noida,Ecommerce,Online fashion store,"Tanvi Malik, Shivani Poddar.",Trifecta Capital,"$1,100,000",
60,HaikuJAM,,,,Creative writing mobile platform,Neer Sharma,"Lightbox. Social Capital, Dunce Capital","$3,400,000",
61,Mamaearth,,,Ecommerce,Online baby and mother care brand,"Ghazal Alagh, Varun Alagh",Sequoia India,"$18,300,000",Series A
62,Rentomojo,2014,,Rental,"Furniture, electronics, and appliance-centric consumer leasing platform",Geetansh Bamania,GMO Payment Gateway,"$2,000,000",
63,Zomato,,,Foodtech,Online food delivery and restaurant discovery platform,Deepinder Goyal,Ant Financial,"$150,000,000",
64,Byju,2011,,Edtech,Provides online learning classes,Byju Raveendran,Tiger Global,"$200,000,000",
65,Generico,,Mumbai,Pharmacy,Generic medicine focussed retail chain,Siddharth Gadia,Alteria Capital,"$1,400,000",
66,HighRadius,2016,Hyderabad,Saas,"An AI-based platform, to automate accounts receivables and treasury processes.",Sashi Narahari,ICONIQ Capital,"$125,000,000",Series B
67,Chai Kings,,Chennai,Beverage,It offers a range of tea in various flavour,"Jahabar Sadique, Balaji Sadagopan",The Chennai Angels (TCA),"$1,000,000",
68,Rivigo,2014,Gurugram,Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra",Trifecta Capital,"$3,400,000",Series F
69,BuildPan,2019,Indore,SaaS,"It helps developers to test, integrate and deploy apps","Sonal Khandelwal, Vaibhav Tiwari","HNIs in India, Japan, and the US",Undisclosed,Seed round
70,Shiksha,2008,,Edtech,It makes college selection easy for students looking to pursue UG and PG courses in India and abroad,Kanav Sachdeva,Mumbai Angels Network,"$181,000",
71,Super Surfaces,,Hyderabad,Deisgning,A design solution based company,Kumar Varma,Vishnu Reddy,"$500,000",Series A
72,Quicko,,Ahmedabad,Taxation,Online tax planning and filing platform,Vishvajit Sonagara,"Zerodha fintech fund, Rainmatter","$280,000",
73,Satin Creditcare,,Gurgaon,Fintech,A micro finance company,,Austrian Bank,"$15,000,000",
74,XpressBees,2015,,Logistics,Provides end to end supply chain solutions,"Supam Maheshwari, Amitava Saha",Alibaba,"$10,000,000",
75,FarmERP,2001,Pune,Agritech,Smart agriculture management ERP software platform,"Santosh Shinde, Sanjay Borkar",TechnoGen,Undisclosed,Series A
76,Wealth Bucket,2018,,Fintech,An online platform for mutual fund investments,"Himanshu Jain, Pulkit Jain","NorthStar, Vinod Khatumal","$3,000,000",
77,GoMechanic,2016,Delhi,Automobile Technology,Find automobile repair and maintenance service providers,"Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa","Chiratae Ventures, Sequoia Capital, Orios Venture Partners","$14,700,000",Series B
78,Fashor,2017,Chennai,Fashion,WomenвЂ™s fashion and apparel,"Vikram Kankaria, Priyanka Kankaria",Sprout venture partners,"$1,000,000",Pre series A
79,Leverage Edu,,Delhi,Edtech,AI enabled marketplace that provides career guidance,Akshay Chaturvedi,"DSG Consumer Partners, Blume Ventures","$1,500,000",
80,Purplle,2012,Mumbai,Cosmetics,Online makeup and beauty products retailer,"Manish Taneja, Rahul Dash",Verlinvest,"$8,000,000",
81,Shuttl,2015,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund LLP.,"$8,043,000",Series C
82,Pando,2017,Chennai,Logitech,Networked logistics management software,"Jayakrishnan, Abhijeet Manohar",Chiratae Ventures,"$9,000,000",Series A
0,Vogo,2016,Bangalore,Automotive,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,"$20,000,000",Series C
1,Flick Stree,,Mumbai,AI & Media,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,"$3,000,000",Series A
2,MinionLabs,,Bangalore,Machine Learning,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,Undisclosed,
3,Josh Talks,2015,Haryana,Media,Community of young individuals providing a platform to showcase their stories,"Supriya Paul, Shobhit Banga",Media Development Investment Fund,"$1,500,000",Pre series A
4,PhoneParLoan,2015,Delhi,Fintech,Provides easy loans,Ringaile Noq,Accelerator MOX,Undisclosed,
5,RailYatri,2011,Noida,Travel,A complete Indian railways app,"Manish Rathi, Kapil Raizada, Sachin Saxena","Nandan Nilekani, Samsung Venture Investment Corporation","$13,800,000",
6,AjnaLens,2014,Thane,Deeptech,"It leverages technologies such as AR, VR & AI to offer hardware in areas such as education and defence","Pankaj Raut, Abhishek Tomar, Abhijit Patil","Maharashtra Defence, Aerospace Venture Fund (MDAVF)","$1,500,000",Pre Series A
7,Rupeek,2015,Bangalore,Fintech,An asset backed online lending platform,"Amar Prabhu, Ashwin Soni, Sumit Maniyar","GGV Capital, Bertelsmann India Investments, Binny Bansal, Sequoia India, Accel Partners","$30,000,000",
8,Invideo,,,Visual Media,Video production and editing platform,Sanket Shah,Sequoia CapitalвЂ™s Surge,"$2,500,000",
9,AvalonMeta,2017,,Edtech,It combines higher education and competitive gaming,"Varun Mayya, Shashank Udupa, Abhinav Arora",Peerplays,"$420,000",
10,Near Store,,Mumbai,Ecommerce,Enables a shop to create an online presence,,Sauce.vc,"$300,000",Seed Round
11,ElecTorq,,Delhi,Automobile,Electric vehicle startup,Anubhav Sharma,AdvantEdge,Undisclosed,
12,Prayaan Capital,,Chennai,Fintech,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,"$1,200,000",Seed Round
13,Sanfe,,Delhi,Hygiene,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital","$1,100,000",Pre Series A
14,Swiggy,2014,Bangalore,Foodtech,Platform to order food online from restaurants and getting it delievered,"Nandan Reddy, Sriharsha Majety, Rahul Jaimini",Prosus N.V,"$113,000,000",Series A
15,Unacademy,2010,Bangalore,Edtech,Platform that offers online education in India,"Gaurav Munjal, Roman Saini, Hemesh Singh","Facebook, General Atlantic, Sequoia India, Nexus Venture Partners, Steadview Capital, Blume Ventures","$110,000,000",Series E
16,Zvesta,2015,Gurugram,Proptech,An online platform where users can search and buy properties listed by developers and brokers,"Rajan Dang, Anushree Srivastava",Hindustan Media Ventures,"$5,500,000",
17,Dunzo,2014,Bangalore,Logistics,India-based hyperlocal delivery startup,Kabeer Biswas,Alteria Capital,"$11,000,000",
18,Digit Insurance,,Bangalore,Insurtech,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma","$340,000",
19,Yolo,2019,Gurugram,Transport,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,"$600,000",Seed Funding
20,SmartVizX,2015,,VR & SaaS,It developed IndiaвЂ™s first VR-based design communication and collaboration product Trezi,"Tithi Tewari, Gautam Tewari",Rockstud Capital,"$1,397,000",Pre series A
21,Carbon Clean,2009,,Cleantech,Develops affordable carbon capture technology,"Aniruddha Sharma, Prateek Bumb","WAVE Equity Partners, Chevron Technology Ventures, Marubeni Corporation.","$16,000,000",
22,Genius Corner,2014,Noida,Edtech,Framework to enable personalised learning using artificial intelligence (AI) and machine learning (ML).,"Vishal Khatter, Dheeraj Khatter, Dipak Varshney","Mahesh Mohta, Jyoti Arora, Nachu Subramanian, Srivats","$250,000",
23,PlanetSpark,2016,Gurugram,Edtech,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels","$448,500",
24,Simsim,,Bangalore,Social Commerce,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital","$8,000,000",Series B
25,Shuttl,2015,Delhi,Transport,App based bus aggregator serice,"Amit Singh, Deepanshu Malviya",SIG Global India Fund,"$7,975,700",Series C
26,ClassMonitor,,Indore,Edtech,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,Undisclosed,
27,Friyey,,Pune,Co-working,Co working space startup,Yogesh Thore,Tarun Bhalla,Undisclosed,
28,Oga,,Bangalore,Fitness,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,"$330,000",
29,Big Basket,,Bangalore,Estore,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,"$3,500,000",
30,CYFIRMA,,Bangalore,Saas,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,Undisclosed,Series A
31,Innoviti,,Bangalore,,Digital payments solutions company,Rajeev Agrawal,FMO,"$5,000,000",
32,Paytm money,2010,Bangalore,Fintech,Wealth Management,Vijay Shekhar Sharma,One97 Communications,"$5,600,000",
33,Yap,,Chennai,Fintech,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta","$1,402,000",
34,Clover,,Bangalore,Agritech,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield","$5,500,000",Series A
35,Nova Credit,,,Fintech,Cross-border consumer credit startup,Nicky Goulimis,"Kleiner Perkins, Canapi Ventures, Index Ventures, Nyca Partners, General Catalyst.","$50,000,000",Series B
36,Furlenco,2011,Bangalore,Ecommerce,Furniture rental startup,Ajith Mohan Karimpana,Chowdry Associates,"$2,200,000",Series C
37,Brick&Bolt,2018,Bangalore,,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,"$1,500,000",Pre series A
38,MoEngage,,Bangalore,Marketing,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,"$25,000,000",Series C
39,Classplus,2018,,Edtech,It allows coaching centres to take their brick-and-mortar setup online,"Rustagi, Bhaswat Agarwal","Blume Ventures, Sequoia","$2,500,000",Pre Series A
40,Chaayos,2012,,Beverages,Provides customised range of tea,"Nitin Saluja, Raghav Verma",Think Investment,"$21,500,000",
41,Altor,,,Tech,Makes helmets that are IoT and AI enabled,"Shamik Guha, Sayan Tapadar, Muhammad Bilal Shakil, Anirban Datta Gupta",Venture Catalysts,Undisclosed,
42,Pepperfry,2013,Mumbai,E-market,Online home furniture marketplace,"Ambareesh Murty, Ashish Shah",Pidilite Industries,"$40,000,000",Series F
43,FirstCry,2010,Pune,E-market,Baby products marketplace,"Supam Maheshwari, Amitava Saha",SoftbankвЂ™s Vision Fund,"$296,000,000",Series E
44,Waycool,2015,Chennai,Agritech,Food development and distribution services,Karthick Jayraman and Sanjay Dasari,LightBox Ventures,"$32,000,000",Series C
45,WorkIndia,,,HR tech,An online and mobile-based platform that connects companies with blue collar employees.,Kunal Patil,Xiaomi,"$6,000,000",
46,Qyuki,,Mumbai,Media,Multi-channel broadcast network,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,"$3,500,000",
47,Leap India,,Coimbatore,Agritech,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,"$30,000,000",Series B
48,Picxy,,Hyderabad,Media,Stock photo industry,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan","$250,000",
49,Krimanshi,,Jodhpur,Agritech,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,"$20,000",
50,NEETprep,,Delhi,Edtech,Provides crash course for NEET preparation,Kapil Gupta,IndiaQuotient,Undisclosed,
51,Kuku FM,,Mumbai,Media,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,"$5,500,000",Series A
52,SuperMoney,2018,Mumbai,Fintech,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,"$1,000,000",Pre series A
53,AlphaVector,2015,Bangalore,E tailor,It sells modern age bicycles named FROG,Sachin Chopra,"Avaana Capital, Titan Capital",Undisclosed,
54,Fox Capital,2019,Jaipur,Fintech,Digital lending startup,Rakesh Sharma,Institutional Investors,"$2,500,000",
55,Tribe Theory,,Bangalore,Accomodation,An entrepreneur-focused hostel chain present in multiple locations across the world.,Katie Russel and Daniel Wiegand,Tim Draper,"$3,500,000",
56,Fleetx,,,SaaS,Fleet management and predictive analytics platform,"Vineet Sharma, Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria, Vishal Misra",Beenext,"$1,402,400",Series A
57,Embibe,,Mumbai,Edtech,It provides AI-based data analytics to personalise learning outcomes,Aditi Avasthi,Reliance Industries Limited (RIL),"$12,618,300",
58,Entri,2017,Kochi,Edtech,It is a app that provides different types of learning content in local languages,"Mohammed Hisamuddin, Rahul Ramesh",Good Capital,"$1,400,000",Seed Round
59,Oye! Rickshaw,,,E-mobility,App-based electric rickshaw hailing service,Akash Deep,Chiratae Ventures,"$10,000,000",Series A
60,Seal Professional,2012,Bangalore,Edtech,Trains students in managemnt and leadership skills and also helps in placement,,Equanimity Ventures,Undisclosed,Pre series A
61,Sprinng Foods,,Mumbai,Food,Provides Gluten-free food,Tarun Khanna,"Mistletoe, Info Edge Asia",Undisclosed,
62,1MG,2015,Gurugram,Healthtech,Online pharmacy,"Prashant Tandon, Gaurav Agarwal, Vikas Chauhan",Bill & Melinda Gates Foundation,"$9,900,000",
63,Aagey,,Bangalore,Fintech,Provides financial assistance to MSMEs,Akaash Shankar,"JITO Angel Network, Ketan Kothari, Girish Jain, Sunil Singhvi, Vinay Jain",Undisclosed,
